"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C11orf71",0.0466255821885945,4.42666923016345,2.91523992442633,0.0055168186334428,0.418018717592144,-2.39381933188798
"ABCC6P2",0.160199399144542,0.45608548305586,2.91396594749973,0.00553574806079366,0.418018717592144,-2.19752731418934
"PPP1R36",0.11643099296207,2.29572090587524,2.91392425382534,0.00553636858985953,0.418018717592144,-2.26150139175099
"CFAP61",0.158404450233892,2.65562906818733,2.91354719115682,0.00554198337891902,0.418018717592144,-2.28313552865931
"MIR34C",0.234193584762789,-2.32466672689702,2.912719890598,0.00555432120864882,0.418018717592144,-2.25167711383028
"RSPH14",0.15992506066886,3.04376526008646,2.91164808062494,0.00557034357745347,0.418018717592144,-2.31306337286926
"TMEM159",-0.0304767407139194,5.75005715547475,-2.90912790536784,0.00560818733127122,0.418018717592144,-2.48954351884962
"GJB1",0.114125602282473,1.98213794705692,2.90870684545262,0.00561453341962097,0.418018717592144,-2.26108581115736
"DCDC1",0.191520296190251,-0.34892836822552,2.90764068312593,0.00563063224381525,0.418018717592144,-2.20780891922326
"WDR38",0.156114321126814,5.69337475065708,2.90738374106877,0.00563451844324622,0.418018717592144,-2.48896937165152
"ARMC4",0.186106292738581,2.97763679164495,2.90726355174615,0.00563633714186903,0.418018717592144,-2.31689535016971
"AK7",0.164826644341593,4.03806579702078,2.9060409462967,0.00565486866248331,0.418018717592144,-2.3908129424803
"RSPH4A",0.176778281081275,4.49592148309216,2.90574795510837,0.00565931807467654,0.418018717592144,-2.42264586159966
"WDR49",0.146189536716697,2.69941286235969,2.90503526247341,0.00567015476718713,0.418018717592144,-2.30596735094907
"POLR2I",0.0741086213933043,5.56496125650756,2.90302924080318,0.00570076080598608,0.418018717592144,-2.49908751354037
"ABHD11-AS1",0.0870018046209371,2.36133948807049,2.90019085387148,0.00574432940271178,0.418018717592144,-2.2974422009227
"FAM81B",0.188031630759116,2.82252045684139,2.89831710758602,0.00577326077897287,0.418018717592144,-2.32928309200496
"DPY30",0.0535858324016047,5.1884129209036,2.89393963466274,0.00584138053478882,0.418018717592144,-2.49667467222613
"RCAN3AS",0.12631373281218,0.242660899357306,2.89205381270891,0.00587095673976828,0.418018717592144,-2.24292593766358
"ANKRD66",0.205647161271583,2.93305502835243,2.89038180017612,0.00589729626149051,0.418018717592144,-2.35593881107203
